Grocery,Clothing,Electronics,Region,Profit
165349.2,136897.8,471784.1,Mohawk Valley,192261.83
162597.7,151377.59,443898.53,Hudson Valley,191792.06
153441.51,101145.55,407934.54,Southern Tier,191050.39
144372.41,118671.85,383199.62,Mohawk Valley,182901.99
142107.34,91391.77,366168.42,Southern Tier,166187.94
131876.9,99814.71,362861.36,Mohawk Valley,156991.12
134615.46,147198.87,127716.82,Hudson Valley,156122.51
130298.13,145530.06,323876.68,Southern Tier,155752.6
120542.52,148718.95,311613.29,Mohawk Valley,152211.77
123334.88,108679.17,304981.62,Hudson Valley,149759.96
101913.08,110594.11,229160.95,Southern Tier,146121.95
100671.96,91790.61,249744.55,Hudson Valley,144259.4
93863.75,127320.38,249839.44,Southern Tier,141585.52
91992.39,135495.07,252664.93,Hudson Valley,134307.35
119943.24,156547.42,256512.92,Southern Tier,132602.65
114523.61,122616.84,261776.23,Mohawk Valley,129917.04
78013.11,121597.55,264346.06,Hudson Valley,126992.93
94657.16,145077.58,282574.31,Mohawk Valley,125370.37
91749.16,114175.79,294919.57,Southern Tier,124266.9
86419.7,153514.11,0,Mohawk Valley,122776.86
76253.86,113867.3,298664.47,Hudson Valley,118474.03
78389.47,153773.43,299737.29,Mohawk Valley,111313.02
73994.56,122782.75,303319.26,Southern Tier,110352.25
67532.53,105751.03,304768.73,Southern Tier,108733.99
77044.01,99281.34,140574.81,Mohawk Valley,108552.04
64664.71,139553.16,137962.62,Hudson Valley,107404.34
75328.87,144135.98,134050.07,Southern Tier,105733.54
72107.6,127864.55,353183.81,Mohawk Valley,105008.31
66051.52,182645.56,118148.2,Southern Tier,103282.38
65605.48,153032.06,107138.38,Mohawk Valley,101004.64
61994.48,115641.28,91131.24,Southern Tier,99937.59
61136.38,152701.92,88218.23,Mohawk Valley,97483.56
63408.86,129219.61,46085.25,Hudson Valley,97427.84
55493.95,103057.49,214634.81,Southern Tier,96778.92
46426.07,157693.92,210797.67,Hudson Valley,96712.8
46014.02,85047.44,205517.64,Mohawk Valley,96479.51
28663.76,127056.21,201126.82,Southern Tier,90708.19
44069.95,51283.14,197029.42,Hudson Valley,89949.14
20229.59,65947.93,185265.1,Mohawk Valley,81229.06
38558.51,82982.09,174999.3,Hudson Valley,81005.76
28754.33,118546.05,172795.67,Hudson Valley,78239.91
27892.92,84710.77,164470.71,Southern Tier,77798.83
23640.93,96189.63,148001.11,Hudson Valley,71498.49
15505.73,127382.3,35534.17,Mohawk Valley,69758.98
22177.74,154806.14,28334.72,Hudson Valley,65200.33
1000.23,124153.04,1903.93,Mohawk Valley,64926.08
1315.46,115816.21,297114.46,Southern Tier,49490.75
0,135426.92,0,Hudson Valley,42559.73
542.05,51743.15,0,Mohawk Valley,35673.41
0,116983.8,45173.06,Hudson Valley,14681.4
